"risk.k"	"alpha.at.conception.k"	"sire.k"	"infant.ID.k"	"infant.name.k"	"infant.DOB.k"	"infant.DOC.k"	"infant.mother.k"	"infant.sex.k"	"infant.birthgroup.k"	"infant.DOD.k"	"infant.CauseOfDeath.k"	"infant.alive.k"	"infant.AgeAtDeath.k"	"takeover.date.k"	"infant.ageattakeover.k"	"infant.over1yr.k"
"117"	"GS"	"Steptoe"	""	33	"BushyBrows92"	1992-01-01	1991-07-25	"BushyBrows F"	"M"	"SEND"	1993-04-15	"Unknown"	0	470	"93-03-31"	"455"	"Y"
"118"	"AMR"	"Steptoe"	""	45	"Charlotte92"	1992-12-15	1992-07-08	"Charlotte F"	"U"	"SEND"	1993-02-01	"Unknown"	0	48	"93-03-31"	"106"	"N"
"119"	"GS"	"Chin"	""	18	"Bent86"	1986-07-07	1986-01-28	"Bent F"	"U"	"CP"	1989-04-15	"Unknown"	0	1013	"89-04-01"	"999"	"Y"
"120"	"GS"	"Chin"	""	208	"Squeaky"	1986-12-15	1986-07-08	"Patch F"	"M"	"CP"	1991-06-15	"Unknown"	0	1643	"89-04-01"	"838"	"Y"
"121"	"GS"	"Chin"	""	97	"Guapa87"	1987-04-01	1986-10-23	"Guapa F"	"U"	"CP"	1989-04-18	"Unknown"	0	748	"89-04-01"	"731"	"Y"
"122"	"AMR"	"Chin"	""	21	"Blanche88"	1988-06-01	1987-12-24	"Blanche F"	"M"	"CP"	1989-04-04	"Unknown"	0	307	"89-04-01"	"304"	"N"
"123"	"AMR"	"Chin"	""	146	"Panchito"	1989-03-01	1988-09-22	"Limp F"	"M"	"CP"	1997-02-24	"Unknown"	0	2917	"89-04-01"	"31"	"N"
"124"	"AMR"	"Chin"	""	140	"NinoViejo"	1989-06-01	1988-12-23	"Blanche F"	"M"	"CP"	1996-01-08	"Unknown"	0	2412	"89-04-01"	"-61"	"Y"
"125"	"AMR"	"Chin"	""	190	"Seria"	1989-06-10	1989-01-01	"Patch1 F"	"F"	"CP"	2012-11-14	"Missing"	0	8558	"89-04-01"	"-70"	"Y"
"126"	"AMR"	"Streak Jr"	""	55	"Chops90"	1990-08-01	1990-02-22	"Chops F"	"U"	"CP"	1990-08-28	"Unknown"	0	27	"90-08-01"	"0"	"N"
"127"	"AMR"	"Winston"	""	149	"Patch1-91"	1991-04-01	1990-10-23	"Patch1 F"	"U"	"CP"	1991-04-17	"Infanticide"	0	16	"90-08-01"	"-243"	"Y"
"128"	"GS"	"Winston"	""	22	"Blanche91"	1991-10-01	1991-04-24	"Blanche F"	"U"	"CP"	1992-03-01	"Unknown"	0	152	"90-08-01"	"-426"	"Y"
